indicator_id,indicator_name,series_code,topic,source,aggregation_method
1,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Health: Risk factors,UNAIDS estimates.,Unknown
2,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
3,Adults (ages 15+) living with HIV,SH.DYN.AIDS,Health: Risk factors,UNAIDS estimates.,Unknown
4,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
5,AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Health: Risk factors,UNAIDS estimates.,Unknown
6,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
7,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
8,Children (0-14) living with HIV,SH.HIV.0014,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
9,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
10,Children orphaned by HIV/AIDS,SH.HIV.ORPH,Health: Risk factors,UNAIDS estimates.,Unknown
11,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.FE.ZS,Health: Disease prevention,Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,Unknown
12,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.MA.ZS,Health: Disease prevention,Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,Unknown
13,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.KNOW.FE.ZS,Health: Disease prevention,Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,Unknown
14,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.KNOW.MA.ZS,Health: Disease prevention,Household surveys such as Demographic and Health Surveys and Multiple Indicator Cluster Surveys.  Largely compiled by UNICEF.,Unknown
15,"Condom use at last high-risk sex, adult female (% ages 15-49)",SH.CON.AIDS.FE.ZS,Health: Disease prevention,"Demographic and Health Surveys, and UNAIDS.",Unknown
16,"Condom use at last high-risk sex, adult male (% ages 15-49)",SH.CON.AIDS.MA.ZS,Health: Disease prevention,"Demographic and Health Surveys, and UNAIDS.",Unknown
17,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,Health: Disease prevention,"Demographic and Health Surveys;
UNAIDS, Joint United Nations Programme on HIV/AIDS (UNAIDS)",Weighted average
18,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,Health: Disease prevention,"Demographic and Health Surveys;
UNAIDS, Joint United Nations Programme on HIV/AIDS (UNAIDS)",Weighted average
19,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
20,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
21,"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Health: Risk factors,UNAIDS estimates.,Weighted average
22,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
23,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
24,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
25,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
26,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
27,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
28,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Health: Reproductive health,"World Population Prospects, United Nations (UN), publisher: UN Population Division",Weighted average
29,"Age at first marriage, female",SP.DYN.SMAM.FE,Health: Population: Dynamics,"United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data 2019.",Unknown
30,"Age at first marriage, male",SP.DYN.SMAM.MA,Health: Population: Dynamics,"United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data.",Unknown
31,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Health: Reproductive health,"State of the World's Children, UN Children's Fund (UNICEF);
Childinfo, UN Children's Fund (UNICEF);
Demographic and Health Surveys, DHS Program (ICF)",Weighted average
